nome_dipartimento;indice_prezzo
Aisne;98.1
Ardennes;102
Aube;101.2
Bas-Rhin;98.8
Calvados;99.8
Cher;100.4
Côte-d'Or;101.3
Côtes-d'Armor;97.2
Doubs;100.3
Essonne;103.4
Eure-et-Loir;97.4
Eure;99
Finistère;97.7
Haut-Rhin;96.9
Haute-Marne;97.9
Haute-Saône;98.8
Hauts-de-Seine;113.3
Ille-et-Vilaine;96.4
Indre-et-Loire;97.7
Indre;97.9
Jura;99
Loir-et-Cher;97
Loiret;98.2
Manche;99.4
Marne;98.8
Meurthe-et-Moselle;98.8
Meuse;97.8
Morbihan;98.4
Moselle;98.1
Nièvre;101.1
Nord;99.8
Oise;98.3
Orne;97.3
Paris;120
Pas-de-Calais;99
Saône-et-Loire;101.7
Seine-et-Marne;102
Seine-Maritime;100
Seine-Saint-Denis;108.1
Somme;99
Territoire de Belfort;97.4
Val-d'Oise;103.5
Val-de-Marne;110
Vosges;98.4
Yonne;104.6
Yvelines;105.5