nome_dipartimento;popolazione
Ain;671937
Aisne;522791
Allier;332443
Alpes-de-Haute-Provence;166654
Hautes-Alpes;139942
Alpes-Maritimes;1110328
Ardèche;332230
Ardennes;265417
Ariège;154581
Aube;312713
Aude;379775
Aveyron;279504
Bouches-du-Rhône;2069118
Calvados;700595
Cantal;143639
Charente;351036
Charente-Maritime;665904
Cher;297274
Corrèze;237077
Côte-d'Or;536166
Côtes-d'Armor;607834
Creuse;113106
Dordogne;411382
Doubs;550112
Drôme;523185
Eure;596710
Eure-et-Loir;428994
Finistère;926065
Corse-du-Sud;163955
Haute-Corse;187300
Gard;757435
Haute-Garonne;1470367
Gers;192820
Gironde;1691437
Hérault;1232805
Ille-et-Vilaine;1118600
Indre;214914
Indre-et-Loire;618016
Isère;1294476
Jura;256814
Landes;428669
Loir-et-Cher;326465
Loire;772342
Haute-Loire;226878
Loire-Atlantique;1497313
Loiret;686615
Lot;175308
Lot-et-Garonne;328309
Lozère;76648
Maine-et-Loire;828269
Manche;492642
Marne;564108
Haute-Marne;167544
Mayenne;305452
Meurthe-et-Moselle;729477
Meuse;178010
Morbihan;777383
Moselle;1051456
Nièvre;197857
Nord;2606646
Oise;833259
Orne;272872
Pas-de-Calais;1453934
Puy-de-Dôme;669117
Pyrénées-Atlantiques;697899
Hautes-Pyrénées;230583
Pyrénées-Orientales;490594
Bas-Rhin;1168422
Haut-Rhin;769231
Rhône;1921014
Haute-Saône;231773
Saône-et-Loire;547362
Sarthe;567118
Savoie;447797
Haute-Savoie;862267
Paris;2102650
Seine-Maritime;1254204
Seine-et-Marne;1452775
Yvelines;1461524
Deux-Sèvres;373899
Somme;564067
Tarn;394546
Tarn-et-Garonne;266039
Var;1110260
Vaucluse;563789
Vendée;709274
Vienne;441534
Haute-Vienne;370113
Vosges;355884
Yonne;329321
Territoire de Belfort;136891
Essonne;1316053
Hauts-de-Seine;1642002
Seine-Saint-Denis;1682806
Val-de-Marne;1426748
Val-d'Oise;1274374
Guadeloupe;375845
Martinique;347686
Guyane;301099
La Réunion;873102
Mayotte;310022